Date,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
2024-01-01,3501.880859375,3521.085017257233,3466.8720694445565,3482.492749322785,825907,,,
2024-01-02,3476.244384765625,3501.880811283447,3461.5885566534093,3501.880811283447,1344068,-0.007320772932849162,,
2024-01-03,3392.214599609375,3465.815661625944,3387.895985677585,3461.3590835588857,1803075,-0.02417257702723785,,
2024-01-04,3369.2890625,3417.253697114489,3354.770972886529,3401.403300159602,3598144,-0.006758280302199937,,
2024-01-05,3434.6201171875,3443.6710132655903,3376.685947407125,3376.8236872126063,1963127,0.01939016020163753,,
2024-01-08,3379.855712890625,3436.319831034353,3374.4342835516945,3434.619843798436,1067805,-0.015944821385871277,,
2024-01-09,3390.514404296875,3447.8976104439284,3383.944619877953,3408.9376626935145,1370944,0.003153593618093975,,
2024-01-10,3411.78662109375,3426.6721669236586,3388.769042465497,3390.606769711953,1292227,0.006274038172471963,,
2024-01-11,3432.4609375,3466.8723341694326,3406.2273370702587,3421.8480181412583,1777909,0.0060596745055592205,,
2024-01-12,3567.763671875,3588.392115065258,3511.5292637762777,3535.787173361786,6813450,0.03941857950859773,,
2024-01-15,3587.059814453125,3643.294222657773,3569.785133676028,3638.6999045964144,2801505,0.005408469941615923,,
2024-01-16,3548.00830078125,3582.649415951116,3542.724834727975,3582.649415951116,1432672,-0.010886775156223272,,
2024-01-17,3569.417236328125,3592.7102914180577,3503.213076388841,3509.13970108832,3458696,0.0060340714372513204,,
2024-01-18,3585.95703125,3591.6539404750943,3548.6510808536727,3581.7301691267776,2239110,0.004633752186082196,,
2024-01-19,3648.365966796875,3667.33389806662,3622.458548477224,3650.170188250898,2941975,0.017403704228190486,,
2024-01-23,3569.90380859375,3639.9000178846713,3555.5622006022504,3608.533623667628,2618854,-0.021506109561703846,,
2024-01-24,3554.682861328125,3593.405063199735,3521.188315964987,3590.0279365554666,2657709,-0.004263685544967366,,
2024-01-25,3525.53759765625,3572.44849227484,3496.299130619781,3552.9253086283948,2205154,-0.008199117842255466,,
2024-01-29,3516.932373046875,3534.512408586967,3498.288373082006,3516.747365220146,1646747,-0.0024408262204027587,,
2024-01-30,3516.51611328125,3560.2348866740044,3503.9787267378097,3522.9003517362453,1411621,-0.00011835876311272475,3498.950573730469,
2024-01-31,3530.764892578125,3547.465970822637,3512.722225277384,3526.3698838766622,2459358,0.004051959052045806,3500.394775390625,
2024-02-01,3566.109619140625,3613.06681275194,3520.6792481490897,3534.511913206379,2363107,0.010010501304348107,3504.888037109375,
2024-02-02,3669.878662109375,3686.625823288954,3582.626126302747,3585.448229768175,2826510,0.029098668872034494,3518.771240234375,
2024-02-05,3676.35546875,3721.415829059659,3665.9925459315737,3685.3304940687767,1691523,0.001764855799592624,3534.124560546875,
2024-02-06,3826.895751953125,3839.756844127173,3691.807072121124,3698.283926633617,4474396,0.040948239222990734,3553.7383422851562,
2024-02-07,3778.22705078125,3844.4761158429774,3769.4833416173137,3842.625585823318,2124267,-0.01271754035814432,3573.6569091796873,
2024-02-08,3825.137939453125,3847.251681511797,3780.6789132023487,3784.333664594337,2345173,0.012416111589210743,3595.3880859375,
2024-02-09,3824.76806640625,3872.002663387047,3793.586455555742,3827.40471019372,2100596,-9.669534869838348e-05,3616.037158203125,
2024-02-12,3812.73974609375,3848.7324649898974,3798.721619618426,3821.3445300582025,1013716,-0.003144849597063737,3635.0510986328127,
2024-02-13,3839.38720703125,3858.355139973566,3776.469185564056,3817.1347639781625,1257415,0.006989058449321295,3648.632275390625,
2024-02-14,3793.678955078125,3807.372695778341,3746.860457716769,3800.0631929479614,1391283,-0.01190509044501098,3658.963232421875,
2024-02-15,3796.547607421875,3836.4261683169534,3777.857073318582,3819.493999181755,1091582,0.0007561663434672017,3671.3901977539062,
2024-02-16,3819.771728515625,3837.953549147556,3793.6795237905503,3805.8466694877607,1307556,0.0061171684106764435,3683.907922363281,
2024-02-19,3797.102294921875,3819.77128723464,3751.949544010636,3814.9136460247614,772291,-0.005934761343071027,3694.465185546875,
2024-02-20,3729.419189453125,3791.735876016428,3710.312558034621,3777.024253238986,1193648,-0.017824936020098048,3698.5178466796874,
2024-02-21,3693.19482421875,3759.675197207269,3683.109527232548,3713.0880194387687,1885939,-0.009713138532889576,3704.6823974609374,
2024-02-22,3781.650634765625,3788.913829407519,3674.227278961376,3674.227278961376,2982052,0.023951027432078886,3716.0307861328124,
2024-02-23,3749.266845703125,3821.344907474074,3743.992653855904,3821.344907474074,2538072,-0.008563400533298404,3727.217248535156,
2024-02-26,3702.031494140625,3747.3231697416345,3685.09909982432,3734.369460019071,1379284,-0.012598556866293631,3736.472204589844,
2024-02-27,3797.657470703125,3815.792754559911,3700.13463275584,3700.13463275584,2960475,0.02583067613386092,3750.5292724609376,
