Date,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
2024-01-01,1429.6361083984375,1434.8428502960069,1414.7992844681723,1418.255071679868,2808451,,,
2024-01-02,1414.015869140625,1427.6086309615123,1403.5102544550214,1424.7057474638627,5396313,-0.010926024577898485,,
2024-01-03,1373.099365234375,1400.6995390215577,1371.2562788380874,1400.6995390215577,7550363,-0.02893638239796925,,
2024-01-04,1394.0184326171875,1400.5153575424802,1375.771943719321,1386.8764724125788,7056038,0.01523492611857824,,
2024-01-05,1412.3111572265625,1418.9001014903272,1388.0745246781073,1388.5352963045564,8895403,0.013122297511541037,,
2024-01-08,1403.3260498046875,1415.4903752195028,1394.52526712299,1408.993450570389,4440136,-0.006361988557478826,,
2024-01-09,1409.3160400390625,1431.1565685607611,1406.1366485499625,1420.9274616897512,4412074,0.004268423746006,,
2024-01-10,1400.6534423828125,1414.983370728282,1386.9224270844938,1405.3071677486228,4096845,-0.006146667894314062,,
2024-01-11,1376.9698486328125,1405.3534251009314,1369.9661425866611,1405.261293276588,11296088,-0.01690896051325097,,
2024-01-12,1486.21875,1491.056851650907,1433.368271607278,1439.450434041234,26754401,0.07934008248304081,,
2024-01-15,1522.4815673828125,1534.3233755421345,1507.6447436874366,1515.8925107048797,13228305,0.024399380900565593,,
2024-01-16,1503.5438232421875,1519.1639351762556,1497.5076704042556,1515.7542704008683,6500917,-0.012438734593798406,,
2024-01-17,1511.51513671875,1518.2424471875822,1493.1303945709744,1493.1303945709744,9209876,0.005301683498239118,,
2024-01-18,1513.726806640625,1519.6247054977496,1500.5026844916376,1513.7729287969016,6375464,0.0014632138760291014,,
2024-01-19,1529.0244140625,1534.830181149936,1515.1552565650595,1522.0207083253042,4522736,0.010105923575354225,,
2024-01-23,1513.3121337890625,1543.3082963711745,1509.2111992011553,1520.638356967558,9401255,-0.010276016608322891,,
2024-01-24,1543.953369140625,1548.1924450033323,1515.9384357324295,1529.6694507492252,8999681,0.02024779598828852,,
2024-01-25,1538.147705078125,1548.699442025017,1527.9185982399083,1541.69562383598,8865304,-0.0037602586830270956,,
2024-01-29,1526.62841796875,1547.593525430197,1518.3345293026832,1534.5076571987393,4253785,-0.007489064328051631,,
2024-01-30,1521.88232421875,1557.407856111292,1518.9334312635722,1532.0192984301252,4995943,-0.0031088729216208755,1466.1890380859375,
2024-01-31,1530.5911865234375,1536.4429635862402,1509.5799556993886,1518.93364206389,6763779,0.005722428183899231,1471.2367919921876,
2024-02-01,1527.0430908203125,1545.4278312937574,1520.8686843443536,1529.346948648717,5760011,-0.002318121085738145,1476.8881530761719,
2024-02-02,1560.4952392578125,1583.6720744845543,1534.3695106294924,1535.3371760388302,7858483,0.021906486227267985,1486.2579467773437,
2024-02-05,1554.82763671875,1567.3145920332188,1549.8974031142452,1561.785332852152,3634135,-0.0036319255557345498,1494.298406982422,
2024-02-06,1593.7628173828125,1597.034340689009,1542.6171705805966,1554.4129683538292,7694265,0.025041477103037613,1503.3709899902344,
2024-02-07,1560.8638916015625,1593.3482914120157,1554.5052206294124,1593.3482914120157,4613877,-0.0206422972241721,1511.2478820800782,
2024-02-08,1559.34326171875,1572.4752526176906,1550.7729772594932,1564.7803892211357,5919715,-0.0009742232432914388,1518.7492431640626,
