Date,Close,High,Low,Open,Volume
2024-01-01,3501.880859375,3521.085017257233,3466.8720694445565,3482.492749322785,825907
2024-01-02,3476.244384765625,3501.880811283447,3461.5885566534093,3501.880811283447,1344068
2024-01-03,3392.214599609375,3465.815661625944,3387.895985677585,3461.3590835588857,1803075
2024-01-04,3369.2890625,3417.253697114489,3354.770972886529,3401.403300159602,3598144
2024-01-05,3434.6201171875,3443.6710132655903,3376.685947407125,3376.8236872126063,1963127
2024-01-08,3379.855712890625,3436.319831034353,3374.4342835516945,3434.619843798436,1067805
2024-01-09,3390.514404296875,3447.8976104439284,3383.944619877953,3408.9376626935145,1370944
2024-01-10,3411.78662109375,3426.6721669236586,3388.769042465497,3390.606769711953,1292227
2024-01-11,3432.4609375,3466.8723341694326,3406.2273370702587,3421.8480181412583,1777909
2024-01-12,3567.763671875,3588.392115065258,3511.5292637762777,3535.787173361786,6813450
2024-01-15,3587.059814453125,3643.294222657773,3569.785133676028,3638.6999045964144,2801505
2024-01-16,3548.00830078125,3582.6494159511158,3542.724834727975,3582.6494159511158,1432672
2024-01-17,3569.417236328125,3592.7102914180577,3503.213076388841,3509.1397010883197,3458696
2024-01-18,3585.95703125,3591.6539404750943,3548.6510808536727,3581.7301691267776,2239110
2024-01-19,3648.365966796875,3667.33389806662,3622.458548477224,3650.1701882508983,2941975
2024-01-23,3569.90380859375,3639.9000178846713,3555.5622006022504,3608.533623667628,2618854
2024-01-24,3554.682861328125,3593.405063199735,3521.188315964987,3590.0279365554666,2657709
2024-01-25,3525.53759765625,3572.4484922748397,3496.299130619781,3552.9253086283948,2205154
2024-01-29,3516.932373046875,3534.512408586967,3498.288373082006,3516.747365220146,1646747
2024-01-30,3516.51611328125,3560.2348866740044,3503.9787267378097,3522.9003517362453,1411621
2024-01-31,3530.764892578125,3547.465970822637,3512.722225277384,3526.3698838766622,2459358
2024-02-01,3566.109619140625,3613.06681275194,3520.6792481490897,3534.511913206379,2363107
2024-02-02,3669.878662109375,3686.625823288954,3582.626126302747,3585.448229768175,2826510
2024-02-05,3676.35546875,3721.415829059659,3665.9925459315737,3685.3304940687767,1691523
2024-02-06,3826.895751953125,3839.756844127173,3691.807072121124,3698.283926633617,4474396
2024-02-07,3778.22705078125,3844.4761158429774,3769.4833416173137,3842.625585823318,2124267
2024-02-08,3825.137939453125,3847.251681511797,3780.6789132023487,3784.333664594337,2345173
2024-02-09,3824.76806640625,3872.002663387047,3793.586455555742,3827.40471019372,2100596
2024-02-12,3812.73974609375,3848.7324649898974,3798.721619618426,3821.3445300582025,1013716
2024-02-13,3839.38720703125,3858.355139973566,3776.469185564056,3817.1347639781625,1257415
2024-02-14,3793.678955078125,3807.372695778341,3746.860457716769,3800.0631929479614,1391283
2024-02-15,3796.547607421875,3836.4261683169543,3777.857073318582,3819.493999181755,1091582
2024-02-16,3819.771728515625,3837.953549147556,3793.6795237905503,3805.8466694877607,1307556
2024-02-19,3797.102294921875,3819.77128723464,3751.949544010636,3814.9136460247614,772291
2024-02-20,3729.419189453125,3791.735876016428,3710.312558034621,3777.024253238986,1193648
2024-02-21,3693.19482421875,3759.675197207269,3683.109527232548,3713.0880194387687,1885939
2024-02-22,3781.650634765625,3788.913829407519,3674.227278961376,3674.227278961376,2982052
2024-02-23,3749.266845703125,3821.344907474074,3743.9926538559034,3821.344907474074,2538072
2024-02-26,3702.031494140625,3747.3231697416345,3685.09909982432,3734.369460019071,1379284
2024-02-27,3797.657470703125,3815.792754559911,3700.13463275584,3700.13463275584,2960475
2024-02-28,3811.120361328125,3844.383366208956,3783.408494524996,3789.515333736869,1939225
2024-02-29,3789.052490234375,3828.838882067221,3760.785601555576,3792.660933089219,3772719
2024-03-01,3788.3583984375,3830.596650371743,3781.372603328524,3800.2481426498143,2043265
2024-03-04,3775.728759765625,3810.148571852321,3771.287442681426,3798.212743964883,1749271
2024-03-05,3712.25537109375,3760.276528728221,3682.554277642303,3758.425998940461,2070859
2024-03-06,3760.554443359375,3767.678938412685,3662.615056431973,3695.5545795520334,1744204
2024-03-07,3801.543701171875,3815.792691183568,3735.942280037316,3761.20205859874,2688905
2024-03-11,3814.266357421875,3842.625640015194,3783.408678550958,3783.408678550958,2304068
2024-03-12,3878.94189453125,3913.8245630337647,3813.062850939751,3814.265966419898,4039801
2024-03-13,3838.924072265625,3924.0484431136456,3823.101952108799,3890.738906694855,2837260
2024-03-14,3893.14501953125,3909.244539822552,3780.63270762484,3843.0420112308407,2919608
2024-03-15,3903.924560546875,3922.198545276578,3864.832112201054,3879.2663373328105,3373143
2024-03-18,3842.1630859375,3936.7714364581766,3810.102742598187,3900.22346730838,1526904
2024-03-19,3680.056396484375,3754.725234102884,3670.1561065216574,3748.479695578933,8931209
2024-03-20,3674.13427734375,3717.714344210438,3664.233988156585,3688.105867601495,1817913
2024-03-21,3676.03173828125,3708.8323391521208,3652.946420443474,3691.8538610073474,3829582
2024-03-22,3618.618896484375,3643.693669023736,3566.8966719366435,3605.757802992762,5852485
2024-03-26,3587.71484375,3651.7431331132784,3582.1169456233524,3585.4016813749195,3440925
2024-03-27,3553.850341796875,3603.907269973938,3543.2097940164645,3597.8930473154446,1968575
2024-03-28,3586.6044921875,3622.4121997880634,3553.479962525173,3562.362596208228,4311783
2024-04-01,3624.03125,3639.3444290750367,3597.4761928938915,3606.40490870501,1569676
2024-04-02,3593.5439453125,3617.647141683191,3583.5510389868773,3599.280542643675,2142666
2024-04-03,3652.29833984375,3683.479723117209,3563.1952810159187,3563.1952810159187,3973090
2024-04-04,3704.11328125,3727.5686125865695,3641.148955174128,3678.7608856605966,3394637
2024-04-05,3681.860595703125,3702.910373563839,3664.511877686053,3680.704014501987,1636819
2024-04-08,3675.661865234375,3731.270161406432,3664.049743217693,3685.330840211129,2302538
2024-04-09,3651.604248046875,3715.7251510025535,3631.7110526327374,3686.2553734846415,1876992
2024-04-10,3686.857177734375,3691.992443782896,3625.18835440643,3660.718440875778,2101965
2024-04-12,3702.355224609375,3713.4123219078538,3650.633002250067,3674.227259392984,4354821
2024-04-15,3646.654296875,3760.4618895048175,3626.1597679097335,3702.355203536005,4200329
2024-04-16,3583.3662109375,3635.088432257424,3574.159869690793,3610.383902806716,3051420
2024-04-18,3573.373291015625,3641.8428983525378,3562.270111447477,3587.067257661961,3476284
2024-04-19,3540.2490234375,3564.6298474105,3516.839772927929,3551.167196003858,2957749
2024-04-22,3575.779052734375,3588.177512833397,3527.1100255082283,3550.2416494950344,1728883
2024-04-23,3585.1240234375,3603.906946927783,3572.077923299984,3587.2984864078,1807586
2024-04-24,3544.736328125,3606.6827712829886,3538.6294891035577,3599.280651690822,1317312
2024-04-25,3564.30615234375,3584.1530434445426,3526.1852756240714,3526.370283464037,2856271
