Date,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
2024-01-01,1279.6929931640625,1287.8941431135045,1271.244822078984,1274.9008072558752,4030540,,,
2024-01-02,1290.2900390625,1291.920402508132,1271.1706293129728,1277.099135940161,7448800,0.008280928281271693,,
2024-01-03,1276.25927734375,1301.3071935056118,1273.2455715878027,1289.450180352941,9037536,-0.010874114574227378,,
2024-01-04,1282.8546142578125,1289.376067708453,1274.184270249419,1278.581197527839,9612778,0.00516770928223087,,
2024-01-05,1288.3138427734375,1294.3165279752034,1283.521657474919,1285.9424160498672,8086406,0.004255531729745909,,
2024-01-08,1278.26025390625,1300.2944657165135,1269.1698042070248,1289.450262535967,7734652,-0.00780367992130282,,
2024-01-09,1274.8758544921875,1287.8691880410895,1273.2454911635218,1284.509677070214,5403074,-0.002647660680773045,,
2024-01-10,1309.2613525390625,1313.658280108081,1272.1834593214687,1273.146817539874,11102740,0.02697164427870624,,
2024-01-11,1343.6961669921875,1346.2651626289091,1312.6702888458758,1313.6583733689065,23725852,0.026300947772074146,,
2024-01-12,1354.3919677734375,1356.9609630954171,1329.714583957277,1343.6960023683716,15012164,0.007959984588772118,,
2024-01-15,1377.51318359375,1379.8104316098677,1349.723309451493,1358.616069177015,8610594,0.01707128834965177,,
2024-01-16,1358.2454833984375,1379.662260463631,1354.169635353321,1373.412554424991,9069024,-0.013987307290261763,,
2024-01-17,1345.35107421875,1369.7568331827044,1338.8791932605309,1343.30084717423,12197382,-0.009493430559713412,,
2024-01-18,1351.6500244140625,1354.663730119792,1335.1490629645289,1335.2972997496222,10279438,0.004682012239050959,,
2024-01-19,1351.156005859375,1359.6041759840746,1342.8067406703178,1359.6041759840746,10422704,-0.00036549294992371806,,
2024-01-23,1312.7442626953125,1355.4048574857818,1306.791150318716,1355.4048574857818,20055420,-0.02842879948539434,,
2024-01-24,1327.8619384765625,1333.4199132911328,1308.1497027138623,1319.314984194113,21919128,0.011516085966515988,,
2024-01-25,1336.9522705078125,1347.895377764627,1319.290261603849,1326.9479158139593,11808872,0.006845841248886986,,
2024-01-29,1430.7957763671875,1435.192704047216,1343.9678528779282,1348.241269998228,23893438,0.07019211375715795,,
2024-01-30,1390.852294921875,1442.5784888178382,1387.690473107798,1442.5537625848374,14093978,-0.027916969077676157,1328.0509338378906,
2024-01-31,1409.6258544921875,1417.159997760743,1385.7883192326594,1387.2704457772934,15130226,0.013497881578695692,1334.5475769042969,
2024-02-01,1409.650634765625,1426.1515960154993,1401.1531330404457,1417.9011153905622,13349362,1.757932671186957e-05,1340.515606689453,
2024-02-02,1440.3306884765625,1457.3258137867138,1416.0980132616144,1416.0980132616144,19652588,0.021764296027886765,1348.7191772460938,
2024-02-05,1421.878173828125,1452.9781061073709,1414.4675408489986,1443.3442832345067,8814432,-0.012811304234553789,1355.6703552246095,
2024-02-06,1410.7869873046875,1424.6695010773788,1402.9069175392074,1424.6695010773788,9047984,-0.007800377506025469,1361.794012451172,
2024-02-07,1424.9659423828125,1432.2283386037336,1412.2196294925052,1418.8151411125152,9296568,0.010050386915755327,1369.129296875,
2024-02-08,1432.845947265625,1442.0845126481563,1410.515263064875,1432.7224367107362,14694634,0.0055299601544409605,1377.0278015136719,
2024-02-09,1443.34423828125,1454.4354611714164,1433.660963243804,1436.6746688077617,12556798,0.007326880489601395,1383.7319458007812,
2024-02-12,1435.04443359375,1443.591388249664,1425.163589047209,1443.3443671360003,6674430,-0.005750398600255946,1388.2993591308593,
2024-02-13,1447.642333984375,1461.3767303535824,1436.674621997369,1438.1567484987418,7715594,0.008778752835601367,1392.9618774414062,
2024-02-14,1463.7235107421875,1465.9714268487612,1440.1329959711338,1440.1329959711338,7117888,0.011108528937221696,1397.272393798828,
2024-02-15,1453.0770263671875,1467.0337197836,1449.050630318146,1465.6751036103208,10006782,-0.007273562456888927,1402.0139709472655,
2024-02-16,1443.17138671875,1459.4007219371786,1441.170612214809,1458.8819534815811,9767498,-0.006817009331709256,1406.9049865722657,
2024-02-19,1456.4364013671875,1461.8708655513933,1436.2053974591388,1444.628841067812,6729828,0.009191572650700364,1412.144305419922,
2024-02-20,1453.4969482421875,1457.9186020207894,1444.3818933388152,1457.449286031468,7117496,-0.002018250245764741,1417.2613525390625,
2024-02-21,1450.2115478515625,1470.7884795851646,1440.18258683898,1456.4365283424868,12720292,-0.0022603421318484473,1424.134716796875,
2024-02-22,1464.0941162109375,1467.2559381666686,1440.6271108051608,1450.6561919754165,18493728,0.009572788452789194,1430.9463256835938,
2024-02-23,1475.82763671875,1479.7059164315408,1465.6750448712426,1471.7517883622584,14438584,0.008014184592298523,1437.8900939941407,
2024-02-26,1469.6026611328125,1476.7169415654328,1464.8352018923576,1475.753583346703,7513106,-0.004217955695542952,1439.8304382324218,
2024-02-27,1467.9476318359375,1482.0771665679397,1460.4382144226488,1465.3539102526263,10826044,-0.0011261746733632894,1443.685205078125,
2024-02-28,1438.2803955078125,1473.5056294891751,1432.8953836215212,1465.3292067243185,8647950,-0.02021001000629752,1445.1179321289062,
2024-02-29,1443.393798828125,1461.352161163495,1437.1935448412644,1447.5437052316252,23628976,0.0035552200643791387,1446.8050903320313,
2024-03-01,1474.345458984375,1482.1266237591103,1445.0734581651325,1446.061542580972,12132926,0.021443669898941753,1448.5058288574219,
2024-03-04,1489.4384765625,1494.4282305064353,1469.503825173054,1472.7150995331629,10024420,0.010237097069856427,1451.8838439941405,
2024-03-05,1482.3243408203125,1489.4386216961695,1468.3430414288637,1487.832984359659,7107668,-0.004776387782465696,1455.460711669922,
2024-03-06,1485.0908203125,1491.019326581213,1460.8827530485903,1475.6545662551582,7805676,0.0018663118563218006,1458.4669555664063,
2024-03-07,1461.3028564453125,1485.1897258668157,1457.968071396935,1485.0662153094684,8315726,-0.016017851259885862,1459.8898010253906,
2024-03-11,1449.1246337890625,1471.2577496463198,1446.0615961097308,1471.2577496463198,11277130,-0.008333811572690752,1460.1788208007813,
2024-03-12,1457.844482421875,1470.269595576354,1447.568380480176,1449.1245651727334,9432678,0.006017321374223394,1461.3188232421876,
2024-03-13,1415.10986328125,1465.4279903850718,1410.7622676768488,1462.142657909758,13522134,-0.029313565099640226,1459.6921997070312,1400.6195581054687
2024-03-14,1414.4180908203125,1431.264978068201,1408.514310659922,1422.545060878272,18571102,-0.0004888471763835334,1457.2269287109375,1403.3140600585937
2024-03-15,1401.3260498046875,1416.1473166057365,1396.0645483366263,1408.9589780840722,19223818,-0.00925613232791167,1454.6393798828126,1405.5347802734375
2024-03-18,1422.3228759765625,1424.5460660460144,1399.6463855144648,1403.0799549430176,9169392,0.01498354089314291,1453.5969543457031,1408.4560522460938
2024-03-19,1408.267333984375,1420.4701525728194,1400.3626585436627,1411.7256294896863,8275764,-0.009882103585331814,1451.1885009765624,1410.964306640625
2024-03-20,1426.546875,1427.7819805194806,1407.056934025752,1410.935092987457,8488806,0.012980164045918174,1449.840997314453,1413.7289672851562
2024-03-21,1433.685791015625,1440.5283239841642,1427.460931435626,1435.2173701383908,13006936,0.005004333289521323,1449.0147094726562,1416.8374780273436
2024-03-22,1437.6875,1442.6031956703118,1430.1039041326171,1432.697625631682,19527608,0.002791203630148509,1447.6943786621093,1420.0937109375
2024-03-26,1424.3978271484375,1435.0939139473653,1421.853557874578,1427.7820647176966,11415906,-0.009243784098813213,1445.1228881835937,1422.3964404296876
2024-03-27,1475.061767578125,1482.1265951381042,1429.7581221098912,1430.74620650665,16326644,0.03556867292553645,1445.3958435058594,1425.0237524414063
2024-03-28,1468.145263671875,1488.005737098728,1461.0311038405712,1475.0865810929813,21854364,-0.004688958834317858,1445.4057250976562,1427.298818359375
2024-04-01,1467.0830078125,1476.1733358521226,1464.8350917273362,1474.6912092837645,5013880,-0.0007235359372533834,1446.8458557128906,1429.09021484375
2024-04-02,1469.2320556640625,1476.198098955644,1457.424495287533,1466.317254919796,8910166,0.0014648440750240077,1448.1377685546875,1431.3099462890625
2024-04-03,1454.0650634765625,1466.7619246317818,1451.397283687729,1464.4152240453116,7008292,-0.010323074649119857,1447.1237487792969,1433.4842260742187
